measurement_id,measured_at,workflow_repository,run_id,run_attempt,run_url,upstream_repository,upstream_ref,upstream_commit,commit_url,ghc,example,runner_os,runner_arch,runner_image,runner_image_version,configuration,benchmark,success,samples,startup_ms,setup_ms,user_time_ms,delayed_time_ms,first_build_ms,average_response_ms,total_time_ms,rules_built,rules_changed,rules_visited,rules_total,rule_edges,ghc_rebuilds,max_residency_mb,allocated_mb
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,completions,True,50,1.65,0.0,2.28,0.02,1.44,0.01,2.31,1551,1550,1552,2745,9664,2,149.0,9391.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,completions after edit,True,50,1.55,0.0,6.75,15.38,1.72,0.05,22.14,22,19,1185,2745,9664,51,231.0,64011.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,completions after typing burst,True,50,1.47,0.0,59.97,14.77,2.73,0.58,74.74,22,19,1179,2745,9664,221,235.0,235217.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,code actions,True,50,1.77,0.0,2.39,0.02,1.43,0.01,2.42,1478,1477,1479,2771,9811,2,148.0,10422.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,code actions after edit,True,50,1.69,0.0,23.69,0.04,1.78,0.22,23.74,19,16,1182,2771,9811,51,158.0,69813.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,code actions after typing burst,True,50,1.65,0.0,73.31,0.9,2.54,0.72,74.22,23,19,1187,2771,9811,219,197.0,231449.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,code actions after cradle edit,False,50,1.93,0.0,0.0,0.0,0.0,0.0,2.73,2094,2011,2150,2768,9811,2,189.0,8993.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,documentSymbols after edit,True,50,1.49,0.0,11.89,2.99,1.61,0.12,14.89,11,9,1173,2743,9662,38,191.0,44714.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,documentSymbols after typing burst,True,50,1.47,0.0,64.84,3.27,2.57,0.65,68.11,16,13,1180,2743,9662,206,197.0,215572.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,hole fit suggestions,True,50,1.49,0.0,21.44,0.08,1.74,0.2,21.53,20,17,1183,2743,9662,51,162.0,63754.0
